# Compravendite SIMULATE (sintetiche, seed=7) - prezzi di VENDITA.
# Servizi granulari: mq, piano, ascensore, classe_energetica, stato, distanza mare, garage.
# Da sostituire con compravendite reali (stesse colonne). Generato da dataset_granulare.py
zona_omi,prezzo_vendita_eur,mq,piano,ascensore,classe_energetica,stato_ristrutturazione,distanza_mare_km,garage
B3,200000,57,5,1,F,2,0.87,1
B3,263000,80,4,0,E,4,0.25,0
C1,181000,105,2,1,E,2,2.06,0
B3,161000,52,2,0,B,3,0.85,0
B3,375000,102,6,1,D,4,0.73,0
B3,202000,57,5,1,E,3,0.62,0
C1,198000,75,0,1,E,3,1.7,0
C1,247000,79,5,1,E,3,0.97,0
B3,189000,56,5,1,E,3,0.8,0
B3,339000,100,3,1,D,3,0.75,0
B3,346000,107,7,1,F,2,0.45,0
B3,112000,41,4,1,F,2,0.66,0
B3,188000,76,0,1,C,2,0.55,0
B3,364000,91,1,1,F,4,0.37,1
B3,125000,44,1,1,D,2,0.63,0
C1,300000,108,6,1,D,2,1.71,1
B3,148000,43,1,1,D,4,0.7,0
B3,321000,96,5,1,D,2,0.37,0
C1,119000,66,1,0,D,1,1.39,0
B3,292000,108,2,1,G,2,0.32,0
B3,212000,61,7,1,C,2,0.34,0
B3,279000,64,3,1,A,4,0.2,1
B3,176000,52,0,0,C,3,0.44,0
B3,439000,122,2,1,E,4,0.19,0
B3,295000,125,0,1,D,1,0.23,0
C1,185000,99,7,0,E,3,1.94,0
B3,273000,104,2,0,F,2,0.07,1
B3,189000,65,5,1,G,2,0.21,0
C1,72000,38,0,0,C,2,1.59,0
B3,176000,62,6,0,B,3,0.85,1
B3,342000,115,4,1,E,2,0.52,1
B3,233000,64,0,1,E,3,0.78,1
B3,142000,40,2,0,C,3,0.38,1
C1,207000,64,7,1,B,2,1.66,1
B3,213000,57,2,0,C,4,0.45,0
B3,381000,81,5,1,B,4,0.8,0
B3,124000,71,4,0,C,1,0.49,0
C1,118000,41,6,1,C,2,1.44,0
B3,194000,67,4,0,E,3,0.6,0
B3,210000,53,4,1,F,3,0.47,0
B3,277000,72,5,1,E,3,0.28,0
B3,237000,53,4,1,F,4,0.26,1
B3,137000,44,6,1,D,2,0.83,0
B3,203000,107,1,1,F,1,0.88,0
C1,262000,79,4,1,C,3,1.18,1
B3,296000,80,5,1,E,2,0.16,1
B3,226000,75,3,0,F,2,0.27,1
B3,297000,78,6,1,G,3,0.17,0
B3,384000,102,1,1,B,4,0.88,1
B3,193000,94,1,1,E,1,0.83,0
B3,87000,52,7,0,F,2,0.9,0
B3,354000,125,6,1,G,2,0.85,1
B3,176000,73,0,0,B,1,0.43,0
B3,185000,59,3,0,D,2,0.25,1
B3,217000,47,7,1,C,3,0.21,1
B3,274000,70,5,1,E,3,0.27,0
C1,242000,61,6,1,C,4,1.24,0
B3,301000,93,1,1,D,3,0.49,1
B3,121000,56,6,0,A,1,0.11,0
B3,265000,60,2,0,F,4,0.06,1
B3,135000,40,0,1,B,3,0.24,0
B3,390000,111,1,1,D,3,0.12,1
B3,292000,113,7,0,A,3,0.86,1
B3,345000,110,5,1,C,2,0.74,0
B3,324000,75,7,1,A,3,0.79,1
B3,292000,120,2,0,C,2,0.79,0
B3,297000,91,5,1,D,3,0.89,0
B3,281000,75,0,1,E,4,0.18,0
B3,365000,102,7,1,G,2,0.06,1
B3,147000,61,1,1,D,1,0.1,0
B3,361000,121,1,0,D,2,0.2,1
B3,256000,68,7,1,G,3,0.66,0
B3,179000,44,4,1,B,3,0.35,0
C1,160000,54,2,0,C,4,2.27,0
B3,128000,64,4,0,F,1,0.49,1
B3,209000,55,1,0,D,3,0.16,1
B3,253000,80,5,1,E,2,0.39,0
B3,149000,99,7,0,C,1,0.8,1
C1,125000,52,2,0,D,1,0.93,1
B3,207000,89,1,1,D,1,0.73,0
B3,156000,48,5,1,E,3,0.48,0
B3,364000,109,4,1,E,2,0.4,0
B3,220000,64,7,1,E,2,0.45,0
B3,245000,93,7,1,D,1,0.9,0
B3,346000,93,1,1,D,4,0.31,1
C1,285000,118,6,0,C,3,1.1,1
B3,297000,107,4,1,D,1,0.15,0
C1,333000,92,3,0,D,4,1.0,1
C1,287000,117,3,1,C,3,2.24,1
B3,99000,39,0,0,D,2,0.84,0
B3,196000,64,5,1,F,2,0.61,1
B3,351000,92,0,1,D,4,0.55,0
B3,461000,112,0,1,C,4,0.45,0
C1,130000,84,3,1,F,1,1.94,0
B3,320000,119,5,1,D,1,0.16,0
C1,96000,52,3,0,D,2,2.26,1
C1,191000,62,7,1,G,2,1.58,1
B3,491000,120,4,1,G,4,0.3,1
C1,140000,43,3,1,G,4,2.2,0
B3,201000,104,5,0,D,1,0.13,0
C1,355000,129,6,1,D,2,1.38,0
B3,384000,93,7,1,E,3,0.81,1
B3,178000,98,6,0,C,1,0.68,1
B3,162000,53,4,1,D,2,0.85,0
B3,277000,103,6,1,F,1,0.11,0
B3,254000,101,7,1,E,2,0.89,0
B3,127000,60,7,0,C,2,0.29,0
B3,224000,71,1,1,D,3,0.82,0
C1,346000,111,0,1,D,4,2.03,1
B3,185000,43,5,1,F,3,0.22,1
B3,267000,91,1,1,C,2,0.61,0
B3,268000,87,4,0,G,3,0.12,1
B3,214000,72,3,1,D,2,0.64,0
B3,207000,69,2,1,D,3,0.63,1
B3,204000,44,7,1,D,4,0.38,0
C1,208000,71,5,1,B,2,1.11,1
C1,307000,110,5,1,D,3,1.52,0
B3,382000,113,1,0,E,4,0.3,0
B3,376000,72,6,1,D,4,0.24,1
B3,225000,59,4,1,E,3,0.73,1
B3,110000,46,1,0,F,2,0.21,0
B3,420000,113,3,1,E,3,0.21,0
B3,209000,69,1,1,D,2,0.49,0
B3,292000,128,2,1,D,2,0.63,0
B3,432000,117,5,1,D,3,0.69,0
B3,351000,128,4,0,C,2,0.31,1
C1,149000,77,6,1,B,1,2.0,0
B3,226000,104,1,1,E,1,0.89,1
B3,185000,47,5,1,A,2,0.21,1
B3,242000,80,5,0,G,3,0.51,1
B3,193000,55,5,0,E,4,0.14,0
B3,213000,64,1,1,F,2,0.42,1
B3,298000,104,6,1,D,2,0.6,0
B3,280000,65,0,1,G,4,0.08,1
B3,109000,69,7,0,C,1,0.78,0
B3,347000,111,1,1,B,3,0.36,0
B3,432000,126,4,1,D,3,0.21,1
B3,200000,76,3,0,D,2,0.22,1
B3,211000,78,7,0,C,3,0.5,0
B3,164000,65,2,0,F,3,0.8,0
C1,116000,62,4,0,E,2,1.68,1
B3,472000,125,3,1,G,4,0.44,0
B3,299000,114,3,1,D,1,0.05,0
B3,356000,116,2,1,E,3,0.81,0
B3,202000,57,5,1,B,2,0.19,0
B3,263000,72,3,1,D,3,0.33,0
B3,405000,107,3,1,E,4,0.66,1
B3,170000,49,6,1,A,2,0.27,0
B3,340000,115,4,1,C,2,0.59,1
B3,262000,86,0,1,C,3,0.61,0
B3,287000,91,6,1,D,2,0.85,1
B3,200000,78,2,1,D,1,0.71,1
B3,311000,70,3,1,G,4,0.51,0
B3,357000,109,0,1,E,3,0.61,1
B3,220000,79,4,1,C,1,0.38,0
B3,303000,97,6,1,F,2,0.4,0
C1,262000,105,0,1,B,2,1.24,0
B3,272000,83,6,1,D,2,0.44,1
B3,301000,110,0,1,D,2,0.26,1
B3,411000,127,0,1,D,4,0.62,0
C1,155000,56,5,0,C,3,1.02,0
B3,97000,47,5,0,F,2,0.81,0
B3,363000,79,2,1,A,4,0.08,1
B3,414000,120,0,0,D,3,0.11,0
C1,293000,95,0,1,G,4,2.48,1
B3,265000,90,2,1,F,2,0.25,1
B3,281000,58,6,1,A,4,0.89,0
C1,144000,51,3,1,E,3,2.32,1
B3,220000,54,0,0,D,4,0.3,0
B3,209000,69,7,1,G,3,0.87,0
B3,287000,115,0,1,G,3,0.74,0
B3,280000,104,7,0,A,3,0.42,1
C1,205000,105,6,1,F,2,2.42,0
B3,219000,73,2,1,E,3,0.81,0
B3,291000,129,2,1,G,1,0.14,1
B3,300000,114,7,0,A,3,0.66,0
B3,343000,118,2,1,D,2,0.72,1
B3,274000,77,2,1,C,3,0.7,0
B3,304000,89,3,1,D,2,0.41,1
B3,345000,107,7,0,E,4,0.26,1
B3,246000,97,1,1,E,2,0.83,0
B3,118000,44,4,0,D,3,0.84,1
C1,235000,64,2,0,C,4,0.96,1
B3,462000,118,3,1,C,4,0.61,0
B3,199000,82,2,0,C,1,0.81,1
B3,433000,107,7,1,C,3,0.17,0
C1,188000,71,5,1,D,2,1.75,1
B3,278000,102,3,0,G,3,0.45,0
B3,247000,64,1,1,E,4,0.73,0
C1,142000,59,4,0,C,2,0.93,1
B3,310000,109,1,1,F,2,0.65,1
B3,311000,105,3,1,D,3,0.85,0
B3,335000,110,3,0,A,3,0.22,0
B3,426000,113,5,1,E,3,0.52,0
B3,309000,82,5,1,B,3,0.16,0
B3,172000,57,2,1,F,2,0.23,0
B3,156000,59,0,1,F,2,0.36,0
B3,387000,105,1,0,D,3,0.11,1
B3,156000,46,1,0,D,3,0.6,0
B3,147000,48,1,1,D,2,0.64,1
B3,243000,73,1,0,E,3,0.37,1
C1,337000,104,1,1,E,4,1.49,0
B3,139000,40,1,0,A,3,0.46,0
B3,230000,68,6,1,G,3,0.64,0
B3,349000,106,2,1,E,3,0.77,0
B3,352000,98,6,1,A,2,0.45,1
B3,257000,78,6,1,F,2,0.69,0
B3,234000,82,0,1,C,2,0.58,1
B3,331000,72,5,1,E,4,0.69,1
B3,353000,120,3,1,F,3,0.89,0
B3,197000,90,0,1,G,1,0.26,0
B3,81000,46,6,0,E,1,0.36,0
C1,275000,124,4,1,F,2,1.4,0
B3,319000,71,7,1,F,4,0.48,0
B3,293000,90,5,1,B,2,0.22,0
B3,105000,42,2,0,F,2,0.56,0
B3,243000,53,6,1,F,4,0.43,1
C1,159000,58,3,1,E,3,1.77,1
B3,99000,61,7,0,E,1,0.09,0
B3,235000,103,7,0,D,3,0.62,0
B3,488000,124,2,0,C,4,0.28,1
B3,257000,108,5,1,D,1,0.21,0
B3,480000,101,7,1,A,4,0.78,0
B3,183000,45,5,1,E,3,0.11,1
B3,167000,69,5,1,D,1,0.69,0
B3,294000,100,6,1,F,2,0.87,0
C1,253000,105,3,1,E,2,1.01,1
B3,229000,83,2,0,C,2,0.24,0
B3,171000,62,2,1,C,2,0.75,0
B3,389000,108,0,0,C,3,0.17,0
C1,151000,65,4,1,E,2,1.8,1
B3,327000,109,5,0,E,4,0.64,0
C1,144000,62,5,0,C,2,0.97,1
B3,271000,61,3,1,E,4,0.24,1
C1,93000,44,1,1,E,2,2.24,1
B3,405000,119,5,1,E,3,0.78,1
C1,343000,109,3,1,C,4,1.65,0
B3,109000,39,7,0,E,3,0.29,1
B3,188000,81,5,0,G,3,0.85,0
B3,390000,110,1,1,D,4,0.79,1
C1,264000,118,2,1,E,2,1.52,1
B3,168000,47,3,1,C,3,0.49,0
B3,289000,88,2,0,B,3,0.53,0
B3,370000,102,7,1,F,3,0.45,0
B3,294000,75,7,1,F,4,0.77,0
B3,220000,52,7,1,E,3,0.81,0
B3,370000,109,2,1,C,3,0.08,0
B3,122000,61,2,0,F,1,0.66,0
B3,247000,76,6,1,C,2,0.56,0
B3,384000,96,2,1,E,4,0.29,0
B3,214000,125,3,0,G,1,0.77,0
B3,150000,60,1,1,E,2,0.82,0
B3,249000,77,2,1,E,3,0.73,1
C1,80000,121,7,0,F,1,1.97,0
B3,375000,99,0,1,C,3,0.26,1
B3,191000,60,5,0,E,3,0.11,0
C1,109000,51,0,1,E,2,1.67,0
B3,401000,117,7,1,E,3,0.24,1
B3,339000,129,1,1,E,2,0.67,0
B3,214000,112,4,0,F,2,0.83,0
C1,126000,47,0,0,D,3,1.74,0
B3,246000,99,2,0,D,2,0.09,0
B3,181000,44,3,0,D,4,0.86,1
C1,279000,84,3,0,C,4,1.6,0
B3,226000,80,5,1,A,1,0.49,0
B3,172000,97,7,0,C,1,0.57,1
B3,116000,38,5,1,D,2,0.24,0
B3,310000,126,1,1,E,1,0.28,0
B3,219000,121,6,0,A,1,0.49,1
B3,274000,93,2,1,D,2,0.77,1
B3,494000,119,7,1,C,4,0.16,0
C1,255000,121,7,1,E,2,2.54,0
B3,257000,65,3,1,B,3,0.15,0
B3,356000,98,2,1,E,3,0.66,1
B3,293000,61,5,1,E,4,0.5,1
B3,399000,117,3,1,G,3,0.42,0
B3,129000,46,6,0,B,3,0.77,0
B3,334000,121,3,1,F,2,0.45,1
B3,250000,52,2,1,B,4,0.42,1
B3,208000,65,6,1,C,2,0.63,1
B3,217000,57,4,1,D,3,0.25,0
B3,310000,96,5,1,D,3,0.76,0
B3,499000,118,5,1,G,4,0.32,1
B3,332000,117,3,1,B,2,0.3,1
B3,121000,40,2,0,D,2,0.13,0
B3,193000,51,4,1,G,3,0.05,0
B3,142000,62,1,1,E,1,0.28,0
C1,225000,119,1,0,E,2,1.48,0
B3,239000,86,1,0,E,2,0.14,0
B3,194000,78,0,1,E,2,0.49,0
B3,447000,123,0,1,F,4,0.63,0
B3,151000,43,7,1,D,2,0.57,0
C1,235000,73,7,1,B,3,1.44,0
B3,273000,83,6,1,E,2,0.58,1
B3,109000,42,0,0,E,2,0.8,1
B3,333000,122,2,1,F,2,0.23,0
C1,145000,88,2,0,D,2,2.32,0
B3,175000,46,0,0,E,4,0.7,0
B3,146000,42,6,1,F,2,0.4,0
C1,191000,100,0,1,E,3,2.43,0
B3,243000,71,5,0,C,3,0.11,1
B3,347000,75,6,1,A,4,0.52,0
B3,177000,42,7,1,B,3,0.51,0
B3,264000,48,7,1,D,4,0.89,1
C1,92000,44,3,1,F,2,1.79,0
B3,154000,49,5,0,B,3,0.46,1
B3,156000,57,5,1,C,1,0.32,0
B3,414000,104,7,1,D,3,0.53,1
B3,448000,126,4,0,E,4,0.43,0
C1,321000,100,1,1,E,4,1.59,1
B3,253000,72,0,1,E,3,0.38,1
B3,218000,77,7,1,D,2,0.86,0
B3,144000,53,7,1,D,1,0.28,0
B3,267000,69,3,1,E,4,0.71,0
B3,394000,129,0,1,F,3,0.62,1
B3,273000,93,5,1,G,2,0.86,1
B3,385000,103,3,0,C,4,0.14,0
B3,161000,66,5,1,F,1,0.59,0
C1,149000,77,1,1,E,2,1.85,0
C1,204000,58,7,1,F,3,1.72,1
C1,173000,42,5,1,D,4,0.91,0
B3,258000,87,0,1,A,2,0.44,1
C1,134000,47,1,1,B,3,1.52,0
C1,294000,84,5,1,A,4,2.26,0
B3,257000,105,2,1,A,1,0.53,1
B3,171000,45,4,0,D,4,0.42,0
B3,237000,60,5,1,C,4,0.62,0
B3,160000,56,2,1,F,2,0.82,1
B3,229000,113,3,0,C,2,0.9,0
B3,177000,50,6,1,D,2,0.26,1
B3,165000,55,1,0,C,2,0.28,0
B3,139000,75,7,0,F,2,0.37,0
B3,157000,62,2,0,F,2,0.63,0
B3,286000,108,1,1,E,2,0.42,0
B3,409000,113,5,1,D,3,0.7,0
B3,232000,89,0,1,C,1,0.52,1
B3,315000,80,5,1,E,3,0.87,1
B3,313000,84,5,1,E,3,0.2,0
C1,130000,44,2,0,D,3,1.71,1
B3,307000,120,0,0,G,2,0.27,0
B3,364000,112,4,1,F,2,0.45,1
B3,188000,82,6,0,F,2,0.41,1
B3,167000,74,3,1,F,1,0.22,0
B3,314000,113,5,0,D,3,0.3,0
B3,232000,67,5,0,D,4,0.85,1
B3,281000,88,3,1,B,2,0.8,1
B3,152000,53,4,1,F,2,0.31,0
B3,137000,50,2,0,G,3,0.71,0
B3,241000,113,2,1,D,1,0.68,1
B3,251000,93,1,1,G,3,0.83,0
B3,319000,106,5,0,E,3,0.25,0
B3,151000,47,2,0,F,3,0.21,0
B3,137000,71,7,0,F,2,0.53,0
C1,79000,84,6,0,E,2,2.58,0
B3,350000,110,5,1,D,2,0.44,1
B3,336000,117,7,1,F,2,0.48,0
